,brand_name,model_name,model_image,price_min,price_max,release_year
143,SYM,Angela 50,https://i1-vnexpress.vnecdn.net/2023/04/10/symangela50sonmojpg-1681094181.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=JWXaEJFvra3HQxKc3wiJKg&t=image,17.9,18.2,
144,SYM,Galaxy 50,https://i1-vnexpress.vnecdn.net/2023/04/10/symgalaxy50ccjpg-1681093799.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=4naYQ6ycQp4dmFfw2pQ0Zg&t=image,18.0,18.6,
145,SYM,Elite 50,https://i1-vnexpress.vnecdn.net/2023/04/07/symelite5013jpg-1680850419.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=88N6aXL-HQ1k1t2QuVZiSg&t=image,23.1,23.6,
146,SYM,Passing 50,https://i1-vnexpress.vnecdn.net/2023/04/10/sympassing50jpg-1681093963.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=1rO03aDEYZ3kKDbO6WggjQ&t=image,24.2,24.7,
147,SYM,New Angel 125,https://i1-vnexpress.vnecdn.net/2023/04/10/symnewangel125ccjpg-1681094069.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=vMReOTuCflfUZ25EF7Uflw&t=image,26.0,26.0,
148,SYM,Attila 50,https://i1-vnexpress.vnecdn.net/2023/04/10/symattila5011jpg-1681093382.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=keXU5N1ZFUXdAN1O3cQ5qA&t=image,26.2,26.7,
149,SYM,New Galaxy 125,https://i1-vnexpress.vnecdn.net/2023/04/10/symNewGalaxy125ccjpg-1681093568.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=Hf0G0fmAv7dWyImTP2kpEg&t=image,26.5,26.5,
150,SYM,Star SR 125 EFI,https://i1-vnexpress.vnecdn.net/2023/04/10/symStarSR125EFIjpg-1681093679.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=aR4_n-g1OalF7_k7TJ-3ag&t=image,28.7,28.7,
151,SYM,Naga 150,https://i1-vnexpress.vnecdn.net/2025/03/10/MON0688jpeg-1741612199.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=_sQD91MJZeqjYLmJTLzO8g&t=image,49.5,49.5,2025.0
152,SYM,Star SR 170,https://i1-vnexpress.vnecdn.net/2023/04/07/symstarsr170ccjpg-1680852744.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=Dbf1lkyPLCMgLkjpn-p-Fg&t=image,52.4,52.4,
173,Suzuki,Raider R150,https://i1-vnexpress.vnecdn.net/2023/04/06/Xam360UpWeb45Traipng-1680749616.png?w=380&h=0&q=100&dpr=1&fit=crop&s=jAkuU8WOr3JwRPfjJ7VElA&t=image,45.99,51.19,
174,Suzuki,Satria F150 FI,https://i1-vnexpress.vnecdn.net/2025/03/17/SuzukiSatriaF15020250jpg-1742181474.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=dExLlSNWNBJ_cF9vJCMvOA&t=image,53.49,53.49,2025.0
175,Suzuki,Burgman Street 125,https://i1-vnexpress.vnecdn.net/2023/04/06/SuzukiBurgmanStreetjpg-1680749431.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=NIaY8Pcm7rKDZdjk-kwyWw&t=image,48.6,48.6,
176,Suzuki,V-Strom 250SX,https://i1-vnexpress.vnecdn.net/2024/02/20/SuzukiVStorm250SXpng-1708420990.png?w=380&h=0&q=100&dpr=1&fit=crop&s=cIxLGhCLYM8LncOHOdyPGg&t=image,132.9,132.9,2023.0
190,Ducati,Desertx,https://i1-vnexpress.vnecdn.net/2023/04/05/DesertXDinamica01gallery1920x1080jpg-1680662847.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=FIYwymPgYZaL935rV5E23g&t=image,,,
191,Ducati,Scrambler,https://i1-vnexpress.vnecdn.net/2023/08/29/MON73011jpg-1693298098.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=okA13pWdbZI1RAVITVxJng&t=image,379.0,446.0,
192,Ducati,Diavel,https://i1-vnexpress.vnecdn.net/2023/04/04/Diavel1260MY2001Gallery1920x1080jpg-1680592148.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=8psOqxaR0bvN3p9dspC_Ww&t=image,,,
193,Ducati,Xdiavel,https://i1-vnexpress.vnecdn.net/2023/04/04/XDiavelDarkMY22ModelPreview1050x650jpg-1680592924.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=I9gelpgcq5_7z9JDZWBUbQ&t=image,,,
194,Ducati,Hypermotard,https://i1-vnexpress.vnecdn.net/2023/04/04/anh1jpg-1680593431.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=tTydNh8nEIefW5XAWrg-CA&t=image,,,
195,Ducati,Monster,https://i1-vnexpress.vnecdn.net/2023/04/04/MonsterCH07gallery1920x1080jpg-1680594350.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=QpNVbqxLz4ZaOxYardJNlw&t=image,,,
196,Ducati,Multistrada,https://i1-vnexpress.vnecdn.net/2023/04/04/MTSV404Gallery1920x1080jpg-1680597376.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=h2kbN2UwIY_ooPVZV60-zA&t=image,,,
197,Ducati,Panigale,https://i1-vnexpress.vnecdn.net/2023/04/04/editorialwideV4AP18686UC937851330x768jpg-1680602042.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=Ukjys2-yJ4oa79CUsBcBsA&t=image,,,
198,Ducati,Supersport,https://i1-vnexpress.vnecdn.net/2023/04/04/22jpg-1680600718.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=Zcy-AT00i9yZVJXZdmzNqA&t=image,,,
199,Ducati,Streetfighter,https://i1-vnexpress.vnecdn.net/2023/04/05/StreetfighterV206urbangallery1920x1080jpg-1680662468.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=m1-amHZmVNv0DNvuZlMqlA&t=image,,,
220,BMW Motorrad,C 400 GT,https://i1-vnexpress.vnecdn.net/2023/04/06/P90412892lowResbmwc400gtlightwhjpg-1680749084.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=RCr9oaXmo5tbOztWEEDuoA&t=image,349.0,349.0,
221,BMW Motorrad,F 900 R,https://i1-vnexpress.vnecdn.net/2023/04/13/P90382726lowResbmwf900r022020jpg-1681353619.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=lr80sKEOUO3NrmihjTRjaQ&t=image,499.0,499.0,
222,BMW Motorrad,F 850 GS,https://i1-vnexpress.vnecdn.net/2023/04/06/P90393514lowResbmwf850gs072020jpg-1680749096.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=clnVwNsokB4l56Tyt3oeWg&t=image,599.0,599.0,
223,BMW Motorrad,R nineT,https://i1-vnexpress.vnecdn.net/2023/04/06/P90403321lowResbmwrninetstandardjpg-1680749257.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ZliLjgr6R2qsNQmWTd0V7A&t=image,639.0,689.0,
224,BMW Motorrad,F 900 XR,https://i1-vnexpress.vnecdn.net/2023/04/06/P90382731lowResbmwf900xr022020jpg-1680749119.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=tjIGrPr0t5Tyv8kGP8rnbQ&t=image,649.0,649.0,
225,BMW Motorrad,R 1250 GS,https://i1-vnexpress.vnecdn.net/2023/04/06/P90401138lowResstudiotakesofthejpg-1680749134.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=yhBOJiB2REgwS0RsmzK0jQ&t=image,669.0,719.0,
226,BMW Motorrad,R 1250 GS Adventure,https://i1-vnexpress.vnecdn.net/2023/04/06/P90401156lowResstudiotakesofthejpg-1680749146.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=Y3GS4HPdewNHJliju7W2vw&t=image,699.0,699.0,
227,BMW Motorrad,S 1000 R,https://i1-vnexpress.vnecdn.net/2023/04/13/BMWS1000RIndoor11635927783jpeg-1681353732.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=s5XbUm3tecZ7WVwuhcwsSA&t=image,699.0,799.0,
228,BMW Motorrad,S 1000 RR,https://i1-vnexpress.vnecdn.net/2023/04/13/BMWS1000RRVNE21576900579jpeg-1681353841.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=ID7zTNy5yqtqKns7mBuufg&t=image,959.0,959.0,
229,BMW Motorrad,R 18,https://i1-vnexpress.vnecdn.net/2023/04/06/R182023jpg-1680748194.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=IRrVmGWacjros_qRLXd2Wg&t=image,959.0,1539.0,
230,BMW Motorrad,K 1600 B,https://i1-vnexpress.vnecdn.net/2023/04/13/P90451897lowResbmwk1600b022022jpg-1681355491.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=aD0lNaClPsUBO2sMO1SMDA&t=image,1099.0,1099.0,
231,BMW Motorrad,R 1250 RT,https://i1-vnexpress.vnecdn.net/2023/04/13/P90414309lowResthenewbmwr1250rjpg-1681355572.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=--OgmqkY9kmKX8YbV_ICfg&t=image,1099.0,1099.0,
232,BMW Motorrad,M 1000 RR,https://i1-vnexpress.vnecdn.net/2023/04/13/IMG36321644915862jpeg-1681353518.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=5OsLr4J1a2XXB5qvbE9sqA&t=image,1599.0,1599.0,
253,Harley-Davidson,Nightster,https://i1-vnexpress.vnecdn.net/2023/04/05/img31541658892037165889205156421658892870jpg-1680664652.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=PPj46Qo9FHkwRf9rdpoKfQ&t=image,579.0,579.0,
254,Harley-Davidson,Sportster S,https://i1-vnexpress.vnecdn.net/2023/04/05/avatarBAI2021HarleyDavidsonSport526064051626339501jpg-1680665158.jpg?w=380&h=0&q=100&dpr=1&fit=crop&s=weZuHUkoPPGeNvKxnH5dHA&t=image,599.0,649.0,2022.0
