,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
8301,9.825526011066415,1.3862943611198906,10.126631103850338,Mio,10.165851817003619,Việt Nam,1,TP. Hồ Chí Minh,98.44
8302,9.680344001221918,2.1972245773362196,10.275051108968611,Exciter,10.834863921828324,Nhật Bản,3,Bình Dương,94.25
8305,10.485703172388792,0.6931471805599453,8.699514748210191,Vision,10.451319901931214,Đang cập nhật,1,Hà Nội,100.0
8309,8.948975607841776,2.70805020110221,9.903487552536127,Wave,9.975342989636557,Việt Nam,1,Hà Nội,100.0
8310,9.472704636443673,2.5649493574615367,9.903487552536127,Exciter,10.834863921828324,Việt Nam,1,TP. Hồ Chí Minh,98.44
8311,9.852194258148577,1.9459101490553132,10.308952660644293,Exciter,10.834863921828324,Ấn Độ,2,Đắk Lắk,90.04
8312,9.259130536145614,2.3978952727983707,13.122363377404328,Jupiter,10.257659366256743,Việt Nam,1,Đà Nẵng,93.51
8313,9.350102314351341,2.5649493574615367,7.418180822726788,Air Blade,10.826555268689306,Nhật Bản,3,Bà Rịa-Vũng Tàu,92.97
8314,10.388995368317829,1.6094379124341003,10.819778284410283,Vario,10.77874793485229,Việt Nam,1,Bình Dương,94.25
8315,9.546812608597396,3.258096538021482,10.596634733096073,Wave,9.975342989636557,Đang cập nhật,2,Hà Nội,100.0
8317,8.922658299524402,2.4849066497880004,10.308952660644293,Air Blade,10.826555268689306,Việt Nam,1,Hà Nội,100.0
