price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
7.824046010856292,1.791759469228055,9.210340371976184,Attila,10.183011437286446,Việt Nam,1,Hà Nội,100.0
10.858998997563564,0.6931471805599453,9.546812608597396,Air Blade,10.826555268689306,Việt Nam,1,Đà Nẵng,93.51
9.711115659888671,0.0,8.294049640102028,Wave,9.975342989636557,Việt Nam,1,Đắk Lắk,90.04
11.820410164718188,2.70805020110221,11.002099841204238,SH,11.6952282715884,Nước khác,3,TP. Hồ Chí Minh,98.44
9.648595302907339,2.1972245773362196,10.596634733096073,Vision,10.451319901931214,Nhật Bản,3,Bình Dương,94.25
9.126958763037132,2.1972245773362196,10.896739325546411,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
10.46310334047155,2.833213344056216,12.765688433465597,Exciter,10.834863921828324,Việt Nam,1,Cần Thơ,91.26
9.51044496442652,2.3978952727983707,13.142166004700508,Liberty,10.975071168816319,Việt Nam,1,Hà Nội,100.0
9.350102314351341,1.791759469228055,8.85366542803745,Wave,9.975342989636557,Nhật Bản,3,Đồng Nai,93.54
10.858998997563564,0.6931471805599453,9.392661928770137,SH Mode,11.02825479868109,Việt Nam,1,TP. Hồ Chí Minh,98.44
8.216088098632316,1.9459101490553132,10.158323550582827,Wave,9.975342989636557,Trung Quốc,2,Bà Rịa-Vũng Tàu,92.97
9.210340371976184,1.3862943611198906,9.852194258148577,Sirius,9.934743942186682,Đang cập nhật,1,Bình Dương,94.25
9.305650551780507,2.5649493574615367,10.085809109330082,Air Blade,10.826555268689306,Việt Nam,1,TP. Hồ Chí Minh,98.44
8.294049640102028,2.772588722239781,10.46310334047155,Attila,10.183011437286446,Hàn Quốc,3,Cần Thơ,91.26
9.769956159911606,2.0794415416798357,10.239959789157341,Vision,10.451319901931214,Nhật Bản,3,TP. Hồ Chí Minh,98.44
9.433483923290392,2.3978952727983707,11.512925464970229,Air Blade,10.826555268689306,Nhật Bản,3,Bình Dương,94.25
10.275051108968611,1.6094379124341003,9.723163998404846,Lead,10.677984278792396,Việt Nam,1,TP. Hồ Chí Minh,98.44
10.505067539570582,0.6931471805599453,8.433811582477187,Air Blade,10.826555268689306,Đang cập nhật,1,TP. Hồ Chí Minh,98.44
11.225243392518447,1.9459101490553132,10.165851817003619,SH,11.6952282715884,Việt Nam,1,Hà Nội,100.0
9.602382459752207,2.5649493574615367,12.206072645530174,Exciter,10.834863921828324,Việt Nam,1,TP. Hồ Chí Minh,98.44
8.961879012677683,2.8903717578961645,9.210340371976184,Wave,9.975342989636557,Nhật Bản,3,TP. Hồ Chí Minh,98.44
9.546812608597396,2.5649493574615367,11.156250521031495,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
10.450680495472941,0.0,8.294049640102028,Future,10.371614421769003,Việt Nam,1,TP. Hồ Chí Minh,98.44
10.308952660644293,1.9459101490553132,10.714417768752456,Winner,10.736396675471232,Nhật Bản,3,TP. Hồ Chí Minh,98.44
9.104979856318357,2.4849066497880004,10.008838068143953,Sirius,9.934743942186682,Nhật Bản,3,TP. Hồ Chí Minh,98.44
9.210340371976184,2.6390573296152584,10.819778284410283,Wave,9.975342989636557,Việt Nam,1,Tây Ninh,90.02
8.987196820661973,2.70805020110221,9.210340371976184,Wave,9.975342989636557,Đang cập nhật,1,Bình Dương,94.25
9.190137664658664,2.5649493574615367,10.858998997563564,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
10.59162219127253,2.833213344056216,10.545341438708522,SH,11.6952282715884,Đang cập nhật,3,TP. Hồ Chí Minh,98.44
10.184900011974314,1.3862943611198906,10.308952660644293,Exciter,10.834863921828324,Việt Nam,1,TP. Hồ Chí Minh,98.44
