title,price,price_numeric,description,model,model_normalized,brand,reg_year,reg_year_numeric,mileage,mileage_numeric,origin,origin_normalized,location,province,condition,vehicle_type,engine_capacity,post_time,days_since_posted,post_date,url,url_full,condition_normalized,vehicle_type_normalized,price_millions
Wave a màu xanh máy chất biển Hà Nội,6.800.000 đ,6800000,Tôi bán chiếc xe wave a màu xanh biển Hà Nội xe hình thức còn đẹp máy chất bốc êm xe đầy đủ chức năng còi đèn xinhan giấy tờ chính chủ còn bảo hiểm xe liên hệ trực tiếp xem xe ah xin cảm ơn,Wave,Wave,Honda,2020,2020,12000,12000,Đang cập nhật,Việt Nam,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Hà Nội,Đã sử dụng,Xe số,75.0,Đăng 3 giờ trước,0.125,2025-05-10 21:00:00,/mua-ban-xe-may-quan-cau-giay-ha-noi/103053385.htm,https://xe.chotot.com/mua-ban-xe-may-quan-cau-giay-ha-noi/103053385.htm,Đã sử dụng,Xe số,6.8
"Xe SH150 ABS ***0km, biển SG, chính chủ",76.000.000 đ,76000000,"Xe nhà cần bán SH150 ABS, đời 2019, xe đẹp odo 25000km, bao không quay tua, cặp bánh theo xe, biển SG. Máy móc nguyên zin đúng chất xe ít đi, không đâm đụng, thủy kích. Xe chính chủ đứng tên cavet ký bán.
Giá: 76.000.000 đồng. Bớt lộc cho người thiện chí mua sử dụng.
Liên hệ: 187/14 Hoàng Hoa Thám, phường 6, quận Bình thạnh để xem xe tại nhà. Cảm ơn ACE đã xem xe.",SH,SH,Honda,2019,2019,25000,25000,Việt Nam,Việt Nam,"Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 3 giờ trước,0.125,2025-05-10 21:00:00,/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/122674982.htm,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/122674982.htm,Đã sử dụng,Tay ga,76.0
honda SH 125cc nhập Ý,65.000.000 đ,65000000,"Nhà dư xe it đi, cần bán chiếc Honda SH 125cc nhập ý đầu máy 101.
- xe máy móc hoàn hảo ko lỗi lầm.
- Ra lộc cho ai thiện chí mua.
- xem xe liên hên số ***",SH,SH,Honda,2011,2011,100000,100000,Nước khác,Ý,"Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,137.5,Đăng 3 giờ trước,0.125,2025-05-10 21:00:00,/mua-ban-xe-may-quan-7-tp-ho-chi-minh/122836662.htm,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/122836662.htm,Đã sử dụng,Tay ga,65.0
Exciter 2010 máy móc nguyên zin,57.000.000 đ,57000000,"Nhà nhiều xe k có nhu cầu sài nên cần ra đi, tình trạng máy móc nguyên zin, êm như chó thở, bao a e thầy thợ test, nếu máy có từng làm tặng luôn xe.",Exciter,Exciter,Yamaha,2010,2010,45000,45000,Nhật Bản,Nhật Bản,"Phường 1, Thành phố Sóc Trăng, Sóc Trăng",Sóc Trăng,Đã sử dụng,Xe số,137.5,Đăng 3 giờ trước,0.125,2025-05-10 21:00:00,/mua-ban-xe-may-thanh-pho-soc-trang-soc-trang/122881651.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-soc-trang-soc-trang/122881651.htm,Đã sử dụng,Xe số,57.0
Wave a màu trắng 50cc biển Hà Nội máy zin,6.900.000 đ,6900000,"Tôi bán chiếc xe wave a 50cc màu trắng máy chất  biển Hà Nội 
Xe hình thức còn đẹp dán nilon cả xe,máy 50cc zin chất chạy khỏe tiết kiệm xăng 
Xe đăng ký chính chủ tên tôi giấy tờ bảo hiểm đầy đủ ah lh:***",Wave,Wave,Honda,2022,2022,10000,10000,Đang cập nhật,Việt Nam,"Phường Láng Thượng, Quận Đống Đa, Hà Nội",Hà Nội,Đã sử dụng,Xe số,50.0,Đăng 1 tháng trước,30.0,2025-04-11 00:00:00,/mua-ban-xe-may-quan-dong-da-ha-noi/104149153.htm,https://xe.chotot.com/mua-ban-xe-may-quan-dong-da-ha-noi/104149153.htm,Đã sử dụng,Xe số,6.9
"Ab vàng đồng đăng ký chính chủ máy chất, hình đẹp",12.500.000 đ,12500000,"Tôi bán chiếc airblade vàng đồng xe máy nguyên bản chạy rất bốc êm tiết kiệm xăng máy zin tuyệt đối xe hình thức còn đẹp dán nilon toàn bộ xe hệ thống đèn còi xinhan phanh hoạt động trơn tru ổn định 
Xe đầy đủ giấy tờ xe,bảo hiểm xe đăng ký tên tôi",Air Blade,Air Blade,Honda,2014,2014,12000,12000,Việt Nam,Việt Nam,"Phường Cống Vị, Quận Ba Đình, Hà Nội",Hà Nội,Đã sử dụng,Tay ga,137.5,Đăng 3 giờ trước,0.125,2025-05-10 21:00:00,/mua-ban-xe-may-quan-ba-dinh-ha-noi/120897127.htm,https://xe.chotot.com/mua-ban-xe-may-quan-ba-dinh-ha-noi/120897127.htm,Đã sử dụng,Tay ga,12.5
SH 300i 2008 UP LED 2019 BSTP,82.000.000 đ,82000000,"Sh 300i 2008 up led 2019
Dàn áo zipat 
Mâm sh 300i 2019
Đồng hồ điện tử
Máy êm thì thầm
Xe chính chủ ký mua bán ( e đang đứng uỷ quyền lần 2 )
Ohlins 430 real",SH,SH,Honda,2008,2008,40000,40000,Đang cập nhật,Việt Nam,"Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Tay ga,175.0,Đăng 3 giờ trước,0.125,2025-05-10 21:00:00,/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/122877940.htm,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/122877940.htm,Đã sử dụng,Tay ga,82.0
BÁN WINNER x Abs đăc biệt 2023 mới 99% chính chủ,27.800.000 đ,27800000,"Đi không phù hợp nên mình cần bán winner X phanh ABS bản đặc biệt xe mới toanh như dắt ở hãng ra, odo 9800km, xe dán keo nguyên con, mới thay nhớt xe, xe còn đầy đủ 2 kính, 2 chìa khoá đầy đủ, đã lên cần số 2 chiều, ốp che lọc gió, lên đèn trợ sáng 2 quả L4x. 

Giá cứng ạ. Mình xin cảm ơn.",Winner X,Winner,Honda,2023,2023,9800,9800,Nhật Bản,Nhật Bản,"Xã Tân Hội, Huyện Đức Trọng, Lâm Đồng",Lâm Đồng,Đã sử dụng,Tay côn/Moto,137.5,Đăng 4 giờ trước,0.16666666666666666,2025-05-10 20:00:00,/mua-ban-xe-may-huyen-duc-trong-lam-dong/121651635.htm,https://xe.chotot.com/mua-ban-xe-may-huyen-duc-trong-lam-dong/121651635.htm,Đã sử dụng,Tay côn/Moto,27.8
"Bán xe Jupiter MX, gtdđ máy êm. ***",5.000.000 đ,5000000,"xe  dàn áo xấu, máy móc rất êm. Bán hoặc trao đổi xe ngang tầm.Anh em quan tâm  Liên hệ số  ***. thks app duyệt tin. ***",Jupiter,Jupiter,Yamaha,2007,2007,60000,60000,Nhật Bản,Nhật Bản,"Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",TP. Hồ Chí Minh,Đã sử dụng,Xe số,137.5,Đăng 4 giờ trước,0.16666666666666666,2025-05-10 20:00:00,/mua-ban-xe-may-quan-7-tp-ho-chi-minh/122881385.htm,https://xe.chotot.com/mua-ban-xe-may-quan-7-tp-ho-chi-minh/122881385.htm,Đã sử dụng,Xe số,5.0
chính chủ bán,28.000.000 đ,28000000,Xe còn nguyên rin bán cho anh em cần dùng yên tâm sử dụng,Future,Future,Honda,2023,2023,100000,100000,Việt Nam,Việt Nam,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đà Nẵng,Đã sử dụng,Xe số,137.5,Đăng 4 giờ trước,0.16666666666666666,2025-05-10 20:00:00,/mua-ban-xe-may-quan-thanh-khe-da-nang/122881185.htm,https://xe.chotot.com/mua-ban-xe-may-quan-thanh-khe-da-nang/122881185.htm,Đã sử dụng,Xe số,28.0
